Id,coord1,coord2,Serol,Year,Month,Day,Week,Site,Region,MetaRegion,MetaRegionB,Sex,Age,UK_Date,Date_continuous
7660,-10.64148,-77.81598,1,2017,4,30,18,LMA5,Lima,Lima,Lima,F,A,30/04/2017,2017.333333
7662,-10.64148,-77.81598,1,2017,4,30,18,LMA5,Lima,Lima,Lima,M,A,30/04/2017,2017.333333
7669,-10.64148,-77.81598,1,2017,4,30,18,LMA5,Lima,Lima,Lima,F,A,30/04/2017,2017.333333
7671,-10.64148,-77.81598,1,2017,4,30,18,LMA5,Lima,Lima,Lima,M,A,30/04/2017,2017.333333
8568,-10.64148,-77.81598,1,2017,4,30,18,LMA5,Lima,Lima,Lima,M,A,30/04/2017,2017.333333
8580,-10.64148,-77.81598,0,2017,4,30,18,LMA5,Lima,Lima,Lima,F,A,30/04/2017,2017.333333
8588,-10.64148,-77.81598,1,2017,4,30,18,LMA5,Lima,Lima,Lima,F,A,30/04/2017,2017.333333
8606,-10.64148,-77.81598,1,2017,4,30,18,LMA5,Lima,Lima,Lima,F,A,30/04/2017,2017.333333
8623,-10.64148,-77.81598,1,2017,4,30,18,LMA5,Lima,Lima,Lima,M,A,30/04/2017,2017.333333
8709,-10.64148,-77.81598,1,2017,4,30,18,LMA5,Lima,Lima,Lima,M,A,30/04/2017,2017.333333
8711,-10.64148,-77.81598,1,2017,4,30,18,LMA5,Lima,Lima,Lima,M,A,30/04/2017,2017.333333
8713,-10.64148,-77.81598,0,2017,4,30,18,LMA5,Lima,Lima,Lima,F,SA,30/04/2017,2017.333333
8718,-10.64148,-77.81598,0,2017,4,30,18,LMA5,Lima,Lima,Lima,F,A,30/04/2017,2017.333333
8722,-10.64148,-77.81598,1,2017,4,30,18,LMA5,Lima,Lima,Lima,F,A,30/04/2017,2017.333333
8724,-10.64148,-77.81598,1,2017,4,30,18,LMA5,Lima,Lima,Lima,M,SA,30/04/2017,2017.333333
8733,-10.64148,-77.81598,1,2017,4,30,18,LMA5,Lima,Lima,Lima,F,A,30/04/2017,2017.333333
8736,-10.64148,-77.81598,0,2017,4,30,18,LMA5,Lima,Lima,Lima,F,A,30/04/2017,2017.333333
